"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
144,1,18798.85005,5101.6939,262.43045,17817.31576,66.60637,42.07024,10.58579
145,1,18797.39961,7240.89658,72.52977,516.46592,189.52368,28.51579,20.51624
146,1,18759.87614,11217.67653,269.81186,26085.3118,0.00001,63.14567,11.3369
147,1,18966.63939,14656.28273,89.12082,1341.10427,216.91444,47.77822,19.20455
148,1,18962.92291,15512.47427,158.13429,2155.63968,187.59312,32.1273,24.27161
149,1,19069.63731,5547.77004,110.27315,4955.98593,258.74999,48.25957,8.02071
150,1,18889.40897,11709.05888,212.39875,3182.37259,143.70761,36.11171,32.83297
151,1,19183.30511,13422.69484,138.46,3629.84287,143.46709,42.11696,14.64544
152,1,19244.40438,12538.58658,147.38886,1574.79254,134.06416,25.6615,23.24934
153,1,19134.19969,14509.36347,280.35426,12873.22853,90.51323,37.0964,14.65017
154,1,19374.23888,1772.63826,94.62773,1132.53599,100.362,18.00371,10.16726
155,1,19214.96936,6006.52863,406.35536,56900.45797,0,51.32684,9.62419
156,1,19333.86452,9331.28357,133.81103,4026.6781,148.50422,48.44822,14.17949
157,1,19351.36047,16665.01228,110.10609,2833.93879,179.40002,40.70537,11.71988
158,1,19376.14918,14046.64073,184.16601,4412.2984,111.1528,31.89564,16.02465
159,1,19325.43789,15761.31318,388.57065,33298.36151,0.26982,34.4522,10.20827
160,1,19981.19396,7132.71678,88.31513,937.34842,133.61322,29.78321,17.0402
161,2,1990.97386,15691.12437,86.48152,1335.84079,157.1041,32.04477,12.45905
162,2,2237.56141,16848.56113,189.72173,7272.38826,62.22745,24.33212,8.19067
163,2,2885.51014,14492.61115,129.26678,1381.38364,110.5067,23.48001,18.93379
164,2,3443.84435,14292.9204,127.28837,3313.7403,111.93242,27.27793,9.11243
165,2,3511.06693,19455.89359,82.77137,662.51024,113.99773,22.45801,16.27639
166,2,4484.05517,16284.0895,102.4689,1297.43354,130.14388,22.7106,12.6815
167,2,4821.20178,15420.70102,102.85522,1628.49303,122.64132,28.82576,12.78614
168,2,5365.06007,17753.81388,116.06394,1445.93628,106.13895,20.92532,13.32786
169,2,5461.41617,3561.64066,107.78208,2522.95028,152.16461,32.19387,10.126
170,2,5811.33476,7045.57461,94.60796,2310.41533,144.34405,29.65566,8.06872
171,2,5876.91648,9084.17455,115.73282,4341.04368,146.97174,30.2497,6.50938
172,2,5953.1766,3167.93741,98.98656,2009.26165,159.73035,32.30925,10.82049
173,2,6408.46157,19520.62068,98.84087,2212.37387,126.78479,36.41657,10.99209
174,2,6557.0034,11019.27856,102.91153,2646.65133,136.27201,35.31137,9.6751
175,2,7073.22864,4437.75609,99.41198,3324.52982,169.7513,39.18423,8.02992
176,2,7444.45565,12545.31733,106.84873,1436.61942,137.62999,30.88392,16.53096
177,2,7491.88147,19430.69946,257.35196,17781.01009,18.54655,41.19263,10.01503
178,2,7760.12051,4212.50297,94.62981,2413.60033,158.53348,26.08041,6.91848
179,2,7809.06827,10847.28543,115.97085,3656.90227,135.94638,32.36016,8.15883
180,2,7817.82327,19284.20079,219.56867,8827.47727,81.90898,34.47912,12.31649
181,2,8518.61631,14777.62753,106.64883,2168.65269,130.66228,32.81209,11.69412
182,2,8848.60253,10756.14034,152.24955,8881.11852,111.87514,61.71099,10.54293
183,2,8950.58363,4814.1712,96.91836,3415.56282,145.7932,28.31383,5.60784
184,2,9081.90857,2291.56312,80.74858,650.94945,152.48657,25.60431,17.90678
185,2,9512.88683,1244.60134,127.2915,2367.41195,114.606,32.69203,14.89116
186,2,9584.23506,5962.63826,108.66973,10265.64017,173.79618,62.92344,4.95039
187,2,9591.5129,13417.52287,120.27909,1794.65393,106.95769,23.81202,13.02595
188,2,9563.20542,17999.65866,111.57253,3313.57509,118.78264,32.79967,8.45295
189,2,9644.48662,18489.82732,92.35071,2838.69803,153.27543,36.60962,7.68255
190,2,9816.88036,9707.50658,113.4052,2714.96267,126.8339,29.40305,9.53693
191,2,10061.03289,2450.2345,125.12297,3168.45605,157.37908,32.95048,10.95226
192,2,10363.03869,2025.7851,152.49577,3323.32685,120.48979,29.36785,13.62542
193,2,10486.93441,6842.85228,106.32904,3026.42142,155.17135,33.18475,8.53107
194,2,10456.97223,16629.18203,74.18949,905.53321,125.61923,24.2688,10.67938
195,2,10544.74752,14921.11032,94.51191,4493.4197,148.16709,38.2797,5.3921
196,2,10623.94441,19510.55985,82.08438,1827.88614,115.59165,29.02349,7.68336
197,2,10664.53695,4517.49244,113.56786,4348.45615,131.12922,46.481,9.28283
198,2,10778.35072,6033.40738,94.90545,4514.71189,182.54833,40.915,5.73693
199,2,10875.24454,11606.61379,92.78055,4349.89677,162.45654,41.02724,5.72105
200,2,11194.61852,15370.884,111.16303,3178.01172,131.4512,39.28711,10.32424
201,2,11272.60919,1967.40185,123.47421,2916.02022,124.3603,31.04692,10.95376
202,2,11238.16061,17281.48814,98.74083,2618.46525,117.81808,29.7675,7.7636
203,2,11254.08546,6845.947,133.27466,1204.96933,139.54651,29.06266,28.1153
204,2,11406.72461,7780.22368,93.3788,4101.2185,155.89075,34.80041,5.29057
205,2,11470.94471,8991.63578,100.84398,3548.10658,144.71296,35.98304,7.16582
