"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
141,1,18877.00003,5102.97883,281.26204,18649.25992,0.84488,42.72496,11.74622
142,1,19025.64076,6092.89302,175.69082,1670.99906,158.85123,28.52769,34.06624
143,1,18913.78841,7193.04337,200.33824,3128.01881,89.90558,25.00582,20.90759
144,1,18897.36998,16289.58487,184.60921,6397.91614,109.01924,35.75245,12.49368
145,1,18870.64927,16960.62658,87.82659,1661.25596,175.07486,44.48683,14.14054
146,1,18919.34517,10407.70898,192.4319,3827.02208,61.38099,26.8207,16.99362
147,1,18971.14575,11313.21737,96.85186,1741.89853,108.40602,32.14944,11.87858
148,1,18921.03287,16407.00399,228.46643,7308.43773,121.78342,40.41969,18.6075
149,1,19174.48692,5542.52278,98.45891,1809.88293,180.47632,38.60135,14.01576
150,1,19140.68827,11869.86176,51.94278,269.94922,103.8786,24.99254,19.28131
151,1,19147.31282,8028.85966,389.86045,21659.88143,1.68988,22.9474,10.69573
152,1,19159.3359,14625.04998,177.71593,2269.4172,93.89674,20.4017,18.74302
153,1,19192.59818,18591.52515,105.8798,835.98459,77.52062,19.12766,17.52942
154,1,19325.81916,6083.58794,316.59505,21632.00595,43.40957,32.40792,9.8673
155,1,19262.69908,13491.40013,239.52916,9026.85091,50.34961,31.46011,13.06945
156,1,19409.80437,9380.2117,202.54603,4745.64806,73.28146,29.57533,16.68127
157,1,19464.98038,16769.57029,96.95929,1465.76637,115.65534,33.14122,14.47833
158,1,19932.05252,17000.34517,201.98537,3459.45875,58.65798,17.81573,14.07267
159,1,20070.58368,7134.71162,304.86738,11466.28488,0.00002,18.44556,10.1227
160,2,2008.60993,16069.86614,139.77606,2366.57899,107.52177,31.13687,16.97716
161,2,2159.84353,13419.35174,124.64487,843.44356,99.48963,14.83598,18.59815
162,2,2212.70643,15700.29063,96.81779,3619.92306,142.40362,36.30457,6.58595
163,2,2445.26733,16869.95989,95.39214,2797.45769,140.13405,26.05881,6.11359
164,2,2733.19031,6403.68246,98.93558,1183.02753,106.54225,15.11712,9.10202
165,2,3018.50083,14550.76202,94.89094,1193.03823,105.6783,20.03924,10.68738
166,2,3579.03381,14318.07789,96.32341,2594.30866,118.2223,22.84054,5.96666
167,2,3569.68581,19037.82341,110.66042,1499.35063,101.60636,15.40251,9.04868
